GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.14_1,AFG.14.10_1,SESA,0,0,0,0,0,0.02440130625641435,0.4187443036203948,0.19008820376986024,0.4189043778972535,0.14006499225147595,0.28812619486416563,0.2472223115171252,0,0,0,0,0,0.0987
AFG,AFG.14_1,AFG.14.13_1,SESA,0,0,0,0,0,0,0.22708050558001067,0.10308277639517865,0.22716731212855396,0.07595572997539479,0.15624771832099205,0.13406598490915794,0,0,0,0,0,0
AFG,AFG.14_1,AFG.14.1_1,SESA,0,0,0,0,0,0,0.17092052324606158,0.07758905606678222,0.17098586139853889,0.057170883417629006,0.11760561173322515,0.10090971143314639,0,0,0,0,0,0
AFG,AFG.14_1,AFG.14.9_1,SESA,0,0,0,0,0,0,0.15370940245301734,0.06977609954861615,0.15376816127368984,0.05141396808845401,0.10576312289081495,0.09074844349596121,0,0,0,0,0,0
AFG,AFG.16_1,AFG.16.5_1,SESA,0,0,0,0,0,0,0.26286074718894464,0.11932515103547839,0.2629612315266587,0.08792379549982618,0.18086709768202638,0.155190269969811,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.1_1,SESA,0,0,0,0,0,0,0.048861230514174,0.0221804654108065,0.04887990880083573,0.016343500829015315,0.03362004044642995,0.028847165792697506,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.2_1,SESA,0,0,0,0,0,0,1.959259695381932,0.8894023225960269,1.960008665758855,0.6553490798075987,1.3481115704749278,1.1567266863497667,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.3_1,SESA,0.008468231637723426,0.00257625361126231,0.0020331475583154892,0.0014900415053686728,0.0010642346808355026,7.557270847159882e-4,0.9707594402560085,0.4768520183928356,0.9832951738429155,0.36975809247945757,0.693590442886428,0.6053921750373595,0.008723,0.005403,0.002068,0.00403,0.001534,0.001248
AFG,AFG.19_1,AFG.19.4_1,SESA,1.5653315743918952,0.829918985040115,0.472268324979923,0.20880554349703798,0.048137722353939566,4.1452179150213054e-4,8.819262091247355,4.064372184446706,8.843105729745723,3.0257555077803873,6.111433836193523,5.261102489616949,0.1775,0.2042,0.05341,0.06901,0.007877,7.879e-5
AFG,AFG.19_1,AFG.19.5_1,SESA,0,0,0,0,0,0,0.1305925688607679,0.05928225560517476,0.13064249076022486,0.04368166202486561,0.08985707893354365,0.07710050372407248,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.6_1,SESA,0.01206775789143637,0.00938603391556162,0.00670430993968687,0.00402258596381212,0.00134086198793737,0,0.15519585240250122,0.07045087075970669,0.15525517945156203,0.051911167928204924,0.1067859073540254,0.09162602819213192,0.07776,0.1332,0.04318,0.07749,0.01256,0
AFG,AFG.19_1,AFG.19.7_1,SESA,0.00360301975235062,0.00280234869627271,0.00200167764019481,0.0012010065841169,4.0033552803900183e-4,3.561817061433847e-17,0.201223015856495,0.09134481665926183,0.2012999378073659,0.06730670701208767,0.13845590585127615,0.11879999006646051,0.01791,0.03068,0.009944,0.01784,0.002891,2.998e-16
AFG,AFG.1_1,AFG.1.5_1,SESA,0,0,0,0,0,0,0.26729946879312877,0.1213401005153374,0.26740164993040483,0.08940849511656439,0.18392125735612266,0.15781084535598314,0,0,0,0,0,0
AFG,AFG.1_1,AFG.1.7_1,SESA,0,0,0,0,0,0,0.46712102596980437,0.21204872759350815,0.4672995933193568,0.15624643085837442,0.32141285884986,0.2757834286939816,0,0,0,0,0,0
AFG,AFG.20_1,AFG.20.5_1,SESA,0,0,0,0.00621521855195866,0.00589648939544796,0.09908126543281633,0.7923758254411569,0.35969754350452704,0.7926787286356869,0.265040295213862,0.545211551566987,0.46781050264372365,0,0,0,0.02345,0.01082,0.2118
AFG,AFG.21_1,AFG.21.4_1,SESA,0,0,0,0,0.0547096379404657,0.08631744114633555,0.6665781756526535,0.3025919325624278,0.6668329899116534,0.22296247662494684,0.4586537217815,0.3935408696117034,0,0,0,0,0.1193,0.2193
