GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.14_1,SUNF,0,0,0,0,0,0,0.04252443609318357,0.07527814128867755,0.08190184415094397,0.11471049047834124,0.12423838157301814,0.114154370114554,0,0,0,0,0,0
AFG,AFG.16_1,SUNF,0,0,0,0,0,0,0.004309192927753059,0.007628273620013091,0.0082994833091215,0.011624131434104725,0.012589635616961232,0.01156777724910483,0,0,0,0,0,0
AFG,AFG.19_1,SUNF,0.005859306149051546,0.0033958350642260345,0.001745757676429395,7.969341381557156e-4,2.6150833036084803e-4,0,5.9329384638488865,7.371480812034755,7.585573296700054,9.025891461779297,8.953982278397023,8.77087672012972,9.876e-4,4.607e-4,2.301e-4,8.829e-5,2.921e-5,0
AFG,AFG.1_1,SUNF,0,0,0,0,0,0,0.0172467395282526,0.030530739834664845,0.033217131200977676,0.046523414116599535,0.050387664205733346,0.04629786702081728,0,0,0,0,0,0
AFG,AFG.20_1,SUNF,0,0,0,0,0,0,0.014406637273857055,0.025503098355488352,0.027747108936542884,0.03886218324462619,0.04209008897593407,0.038673778056979906,0,0,0,0,0,0
AFG,AFG.21_1,SUNF,0,0,0,0,0,0,0.011492727443838592,0.020344800302906828,0.02213493366289285,0.031001855007030642,0.03357687928779356,0.030851556958328252,0,0,0,0,0,0
AFG,AFG.22_1,SUNF,0,0,0,0,0,0,0.1467890745666952,0.2598507989771358,0.28271499901558644,0.3959663733931675,0.4288554706946614,0.3940467149321089,0,0,0,0,0,0
AFG,AFG.23_1,SUNF,0,0,0,0,0,0,0.021598001072601743,0.03823348468945221,0.041597638448254357,0.058261026459255474,0.06310020649286088,0.057978575019164584,0,0,0,0,0,0
AFG,AFG.27_1,SUNF,0,0,0,0,0,0,0.004311744027149829,0.007632789659224304,0.008304396713375703,0.011631013074167423,0.012597088848312546,0.011574625526742181,0,0,0,0,0,0
AFG,AFG.28_1,SUNF,0,0,0,0,0,0,7.179591487277508e-5,1.2709546604920094e-4,1.382785610066451e-4,1.9367087176300988e-4,2.0975723811602885e-4,1.9273194878211502e-4,0,0,0,0,0,0
